device_eui_group,gateway_id,frequency,datarate,rssi_snr,size,fcnt,type,time,details,source_file,source_id,file_stem,primary_id,mirror_id,test_date_hint,time_local,rssi,snr,detail_dev_addr_multicast_addr,detail_gweui,detail_appeui,detail_device_eui_group_name,detail_class_type,detail_immediately,detail_timestamp,detail_type,detail_adr,detail_adrackreq,detail_ack,detail_fcnt,detail_port,detail_modulation,detail_bandwidth,detail_spreadfactor,detail_bitrate,detail_coderate,detail_snr,detail_rssi,detail_power,detail_payloadb64,detail_payloadhex,detail_json,detail_mic,port,payload_hex,detail_json_obj,gpio_in_2,message_text,structure_id,structure_in_manual_json,manual_json_date,file_date_matches_manual_json,eligible_for_manual_mapping,manual_group,manual_group_status,manual_group_reliable,manual_offset_s,x_m,y_m,registered_start_time,interval_start_time,interval_end_time,is_final_group,is_extra_tail_group,position_received_packets,position_expected_packets_from_fcnt,position_missing_packets_from_fcnt,position_duplicate_fcnt_packets,position_fcnt_min,position_fcnt_max,position_packet_delivery_rate,position_packet_loss_rate,position_data_loss_rate
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -41/13.2,34,58,UpUnc,2026-06-25 08:33:58+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1421260021
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 58
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -41
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 903c13a8",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:33:58+02:00,-41.0,13.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1421260021,UpUnc,false,false,false,58,86,LORA,125,7,0,4/5,13.2,-41,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",903c13a8,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,1,assigned_manual_window,True,0.0,-2.0,-1.6,2026-06-25 10:33:58+02:00,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,False,False,5,9,4,0,58,66,0.5555555555555556,0.4444444444444444,0.4444444444444444
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -40/11.2,34,59,UpUnc,2026-06-25 08:34:01+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1424535031
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 59
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.2
RSSI: -40
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: a7903931",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:34:01+02:00,-40.0,11.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1424535031,UpUnc,false,false,false,59,86,LORA,125,7,0,4/5,11.2,-40,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",a7903931,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,1,assigned_manual_window,True,0.0,-2.0,-1.6,2026-06-25 10:33:58+02:00,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,False,False,5,9,4,0,58,66,0.5555555555555556,0.4444444444444444,0.4444444444444444
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -40/11.0,34,62,UpUnc,2026-06-25 08:36:52+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1595027628
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 62
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.0
RSSI: -40
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 25a9196e",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:36:52+02:00,-40.0,11.0,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1595027628,UpUnc,false,false,false,62,86,LORA,125,7,0,4/5,11.0,-40,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",25a9196e,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,1,assigned_manual_window,True,0.0,-2.0,-1.6,2026-06-25 10:33:58+02:00,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,False,False,5,9,4,0,58,66,0.5555555555555556,0.4444444444444444,0.4444444444444444
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -41/12.8,34,63,UpUnc,2026-06-25 08:36:57+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1600234576
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 63
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.8
RSSI: -41
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 7214818f",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:36:57+02:00,-41.0,12.8,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1600234576,UpUnc,false,false,false,63,86,LORA,125,7,0,4/5,12.8,-41,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",7214818f,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,1,assigned_manual_window,True,0.0,-2.0,-1.6,2026-06-25 10:33:58+02:00,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,False,False,5,9,4,0,58,66,0.5555555555555556,0.4444444444444444,0.4444444444444444
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -52/10.2,34,66,UpUnc,2026-06-25 08:38:27+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1689801380
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 66
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 10.2
RSSI: -52
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: a72f1bc0",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:38:27+02:00,-52.0,10.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1689801380,UpUnc,false,false,false,66,86,LORA,125,7,0,4/5,10.2,-52,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",a72f1bc0,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,1,assigned_manual_window,True,0.0,-2.0,-1.6,2026-06-25 10:33:58+02:00,2026-06-25 10:33:58+02:00,2026-06-25 10:38:30+02:00,False,False,5,9,4,0,58,66,0.5555555555555556,0.4444444444444444,0.4444444444444444
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -51/14.2,34,67,UpUnc,2026-06-25 08:38:31+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1693861376
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 67
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.2
RSSI: -51
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 527701aa",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:38:31+02:00,-51.0,14.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1693861376,UpUnc,false,false,false,67,86,LORA,125,7,0,4/5,14.2,-51,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",527701aa,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,2,assigned_manual_window,True,0.0,13.0,-1.6,2026-06-25 10:38:30+02:00,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,False,False,7,11,4,0,67,77,0.6363636363636364,0.36363636363636365,0.36363636363636365
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -52/14.2,34,70,UpUnc,2026-06-25 08:38:43+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1706548299
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 70
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.2
RSSI: -52
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 7158b671",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:38:43+02:00,-52.0,14.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1706548299,UpUnc,false,false,false,70,86,LORA,125,7,0,4/5,14.2,-52,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",7158b671,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,2,assigned_manual_window,True,0.0,13.0,-1.6,2026-06-25 10:38:30+02:00,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,False,False,7,11,4,0,67,77,0.6363636363636364,0.36363636363636365,0.36363636363636365
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -52/14.2,34,71,UpUnc,2026-06-25 08:38:49+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1712017354
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 71
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.2
RSSI: -52
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: c63c65ee",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:38:49+02:00,-52.0,14.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1712017354,UpUnc,false,false,false,71,86,LORA,125,7,0,4/5,14.2,-52,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",c63c65ee,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,2,assigned_manual_window,True,0.0,13.0,-1.6,2026-06-25 10:38:30+02:00,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,False,False,7,11,4,0,67,77,0.6363636363636364,0.36363636363636365,0.36363636363636365
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -55/14.2,34,73,UpUnc,2026-06-25 08:38:59+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1722478342
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 73
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 14.2
RSSI: -55
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 72cf990c",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:38:59+02:00,-55.0,14.2,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1722478342,UpUnc,false,false,false,73,86,LORA,125,7,0,4/5,14.2,-55,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",72cf990c,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,2,assigned_manual_window,True,0.0,13.0,-1.6,2026-06-25 10:38:30+02:00,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,False,False,7,11,4,0,67,77,0.6363636363636364,0.36363636363636365,0.36363636363636365
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -58/13.8,34,74,UpUnc,2026-06-25 08:39:04+00:00,"Dev Addr/Multicast Addr: 06139e8c
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1727725295
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 74
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.8
RSSI: -58
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: e77660cd",25-6_r1354.csv,,25-6_r1354,1354,,2026-06-25,2026-06-25 10:39:04+02:00,-58.0,13.8,06139e8c,24E124FFFEFE11C4,24E124C0002A0001,24E124445E318071,Class C,-,1727725295,UpUnc,false,false,false,74,86,LORA,125,7,0,4/5,13.8,-58,-,Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,"{""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}",e77660cd,86.0,435553544f4d4d45535341474554455354464f524752494441435449564154494f4e,{'text': 'CUSTOMMESSAGETESTFORGRIDACTIVATION'},,CUSTOMMESSAGETESTFORGRIDACTIVATION,R1354,True,2026-06-25,True,True,2,assigned_manual_window,True,0.0,13.0,-1.6,2026-06-25 10:38:30+02:00,2026-06-25 10:38:30+02:00,2026-06-25 10:39:50+02:00,False,False,7,11,4,0,67,77,0.6363636363636364,0.36363636363636365,0.36363636363636365
